,CauseofLoss,CommNbr,County,DateofLoss,District,Facility,FieldNumber,FieldNumber.1,Form Number,Gasident,GrossLoss,Into_Water,LeaseName,LeaseNumber,Location,MasterYear,Net Loss,OperatorNumber,Recovered,Remarks,Remedy,TypeLiquid,Type_Company_Cd,Unique_ID,Water,WaterName
74,Act of God,0.0,NACOGDOCHES,1/29/2010,6,Tank Battery,"DOUGLASS, W. (TRAVIS PEAK)",,102.0,226659.0,20.0,,"ROSS, JOHN GU 1",0.0,MANUEL DE LOS SANTOS COY A-21,2010.0,20.0,"SAMSON LONE STAR, LLC",0.0,FIRE DEPT. EXTINGUISHED FIRE.VACUUMED PRODUCED WATER FROM FIREWALL,Other,Crude,Producer,,None,
75,Equipment Failure,0.0,ANDREWS,1/30/2010,8,Tank Battery,UNIVERSITY BLOCK 9 (DEVONIAN),,621.0,0.0,150.0,,UNIVERSITY BLOCK 9,39152.0,"BLOCK 9, SEC. 14 UNIVERSITY LANDS SURVEY",2010.0,5.0,XTO ENERGY INC.,145.0,SPILL CONTAINED IN FIREWALL. ETECH ENVIRONMENTAL TO REMEDIATE.,Other,Crude,Producer,,None,
76,Equipment Failure,0.0,UPTON,1/30/2010,7C,Tank Battery,SPRABERRY (TREND AREA),,13.0,0.0,35.0,,ABBY,16774.0,"SEC. 45, BLK. C, CCSD & RGNG RR CO.",2010.0,5.0,COG OPERATING LLC,30.0,VACUUMED FREE FLUID AND AREA WAS REMEDIATED.,Other,Crude,Producer,,None,
77,Equipment Failure,0.0,MIDLAND,1/31/2010,8,Tank Battery,SPRABERRY (TREND AREA),,618.0,0.0,120.0,,"PARKS ""5""",38236.0,~8MILES S OF MIDLAND INTERNATIONAL AIRPORT GPS:N31.799 W102.199,2010.0,20.0,"PIONEER NATURAL RES. USA, INC.",100.0,VACUUMED FREE FLUID. NOVA TO REMEDIATE.,Other,Crude,Producer,,None,
78,Company Human Error,0.0,UPTON,1/31/2010,7C,Tank Battery,NO FIELD NAME,,1023.0,0.0,36.0,,"SHORTES, R. J. -A.",0.0,GPS: N 31.33738000 W 101.89835000,2010.0,24.0,"PLAINS MARKETING, L.P.",12.0,SOIL REMEDIATION PLAN IN PROGRESS.,Installed New Equipment,Crude,Transporter,,None,
79,Theft,0.0,PALO PINTO,2/1/2010,7B,Tank Battery,WAGNON (STRAWN GRANNY SD.),,38.0,0.0,80.0,,P. H. COLLINS UNIT,27555.0,TE&L SECTION 1750,2010.0,80.0,"FAIRWAY RESOURCES OPERATING, LLC",0.0,THEFT. NEW GATE AND LOCKS.,Other,Crude,Producer,,None,
80,Equipment Failure,0.0,ANDREWS,2/1/2010,8,Flow Line,FUHRMAN-MASCHO,,527.0,0.0,35.0,,BLOCK 9 FUHRMAN-MASCHO UNIT,20739.0,SEC 5 BLK 9 ULS,2010.0,10.0,"THOMPSON, J. CLEO",25.0,"FLOWLINE LEAK, RECOVERED FLUIDS AND TURNED UP SOIL",Other,Crude,Producer,,None,
81,Equipment Failure,0.0,GLASSCOCK,2/2/2010,8,Valve,SPRABERRY (TREND AREA),,535.0,0.0,60.0,,SPRABERRY DRIVER UNIT,15400.0,,2010.0,30.0,"PIONEER NATURAL RES. USA, INC.",30.0,CHECK VALVE FAILED - REMEDIATED,Other,Crude,Producer,,None,
82,Equipment Failure,0.0,WHEELER,2/3/2010,10,Tank Battery,STILES RANCH (GRANITE WASH),,752.0,238169.0,5.0,,BYRD 42,0.0,"SEC. 42, BLK A-3, H&GN SURVEY",2010.0,1.0,"LINN OPERATING, INC.",4.0,VACUUMED FREE FLUIDS AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
83,Equipment Failure,0.0,SUTTON,2/4/2010,7C,Other,"SAWYER (STRAWN, NORTH)",,54.0,238203.0,30.0,,FIELDS 55,0.0,"30 DEG, 32'46"" 100DEG. 37'43""",2010.0,4.0,HIGHMOUNT EXPL & PROD TEXAS LLC,26.0,FLUSH W/FRESH WATER AND LIQUID CALCIUM AMENDMENT. VACUUMED.,Other,Gas Well Liquid,Producer,,None,
84,Equipment Failure,0.0,MITCHELL,2/4/2010,8,Flow Line,WESTBROOK,,552.0,0.0,9.0,,WESTBROOK SOUTHEAST UNIT,20847.0,SEC 33 BLK 38 IN T-1-N OF THE T&P RR SURVEY,2010.0,9.0,ENERGEN RESOURCES CORPORATION,0.0,FLOWLINE FAILURE,Other,Crude,Producer,,Other,DRYWASH
85,Equipment Failure,0.0,DAWSON,2/4/2010,8A,Tank Battery,WELCH,,1074.0,0.0,90.0,,WEST WELCH UNIT,14783.0,WEST WELCH UNIT TRACT 58,2010.0,10.0,OXY USA WTP LP,80.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
86,Vandalism,0.0,GRAY,2/5/2010,10,Stuffing Box,PANHANDLE GRAY COUNTY FIELD,,753.0,0.0,168.0,,CASTLEBERRY,227.0,"SEC. 151, BLK 3, I&GN SVY",2010.0,30.0,PETCO PETROLEUM CORP.,138.0,VCUUMING FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
87,Human Error - Other,0.0,NACOGDOCHES,2/5/2010,6,Tank Battery,KENDRICK (JAMES),,50.0,252765.0,180.0,,"MCBRIDE, MARVIN B. JR. GAS UNIT",0.0,"BLOCK 827, SURVEY MORA, JM",2010.0,0.0,"FOSSIL RESOURCES, INC.",180.0,INCREASE THE CONTAINMENT. SOIL BEING REMEDIATED.,Other,Gas Well Liquid,Producer,,Other,TRIBUTARY
88,Equipment Failure,0.0,JACK,2/5/2010,9,Flow Line,"NEWARK, EAST (BARNETT SHALE)",,73.0,211728.0,90.0,,RICHARDS RANCH,0.0,B.F. TERRY A-611,2010.0,25.0,"EOG RESOURCES, INC.",65.0,"USED VACUUM, BOOMS, AND ABSORBANT PADS TO REMEDIATE.",Other,Crude,Producer,,Creek,UNNAMED
89,Equipment Failure,0.0,LEE,2/5/2010,3,Tank Battery,HOOKER CREEK (NAVARRO A),,9.0,0.0,5.0,,MAREK,17200.0,"STEPHEN F. AUSTIN GRANT, A-1 LEE COUNTY, TX",2010.0,1.0,"CHMELAR, EUGENE OIL & GAS",4.0,VACUUMED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
90,Equipment Failure,0.0,COCHRAN,2/5/2010,8A,Flow Line,SLAUGHTER,,541.0,0.0,31.0,,SMITH-IGOE,6071.0,440 FSL X 660 FEL LAB 1 LGE 56,2010.0,1.0,OCCIDENTAL PERMIAN LTD.,30.0,OVERPRESSURE ON FLOWLINE - REMEDIATED,Other,Crude,Producer,,None,
91,Equipment Failure,0.0,MIDLAND,2/6/2010,8,Tank Battery,SPRABERRY (TREND AREA),,596.0,0.0,10.0,,"STEPHENS-EVANS ""52""",18520.0,T&P T2S,2010.0,10.0,"ALTO MINERALS, INC.",0.0,WATER RAN OVER CAUSING SPILL - REMEDIATED,Other,Crude,Producer,,None,
92,Equipment Failure,0.0,UPTON,2/6/2010,7C,Tank Battery,SPRABERRY (TREND AREA),,12.0,0.0,80.0,,AMACKER1SW,16369.0,"SEC. 1, GC &SF RR CO",2010.0,80.0,COG OPERATING LLC,0.0,BACKHOED AREA UNTIL REMEDIATION IS DONE.,Other,Crude,Producer,,None,
93,Corrosion - Rust,0.0,COCHRAN,2/6/2010,8A,Pipe Line,LEVELLAND,,553.0,0.0,30.0,,WHITEFACE UNIT,60232.0,TR 13 SEC 22 BLK V OF PSL,2010.0,30.0,ENERGEN RESOURCES CORPORATION,0.0,"CORROSION OF 4"" LINE - REMEDIATED",Other,Crude,Producer,,None,
94,Human Error - Other,0.0,ANDREWS,2/6/2010,8,Other,SPRABERRY (TREND AREA),,526.0,0.0,10.0,,"ANDREWS UNIVERSITY ""20""",38917.0,SEC 20 BLK 5 GPS 32.451112N 102.376068W,2010.0,5.0,"WILLIAMS, CLAYTON ENERGY, INC.",5.0,FAILER TO PICK UP PROD WATER - SPREAD CALICHE OVER AFFECTED AREA,Other,Crude,Producer,,None,
95,Corrosion - Rust,0.0,HOCKLEY,2/8/2010,8A,Flow Line,LEVELLAND,,538.0,0.0,5.0,,SOUTHEAST LEVELLAND UNIT,18515.0,SE LEVELLAND UNIT,2010.0,0.0,OCCIDENTAL PERMIAN LTD.,5.0,OVERPRESSURE ON FLOWLINE -REMEDIATED,Other,Crude,Producer,,None,
96,Other,0.0,CALLAHAN,2/9/2010,7B,Tank Battery,CALLAHAN COUNTY REGULAR (GAS),,64.0,203466.0,84.0,,LAREATA,0.0,HRS. E. SHIPMAN 8 MILES S OF PUTNAM,2010.0,73.0,"MOORE, MILES INC.",11.0,CATTLE OR PIGS OPENED VALVE. FREE FLUID RECOVERED& SOIL REMEDIATED,Other,Gas Well Liquid,Producer,,None,
97,Equipment Failure,3603.0,SAN PATRICIO,2/9/2010,4,Tank Battery,NO FIELD NAME,,1169.0,0.0,25000.0,,HUTH,0.0,FORMER REFINERY @ 1472 FM 2725 INGLESIDE TX 78362,2010.0,75.0,"SUPERIOR CRUDE GATHERING, INC.",24925.0,"TANK FAILURE, ONGOING INVESTIGATION OF TANKS",Other,Crude,Transporter,,Other,POND
98,Vandalism,0.0,PANOLA,2/9/2010,6,Tank Battery,NO FIELD NAME,,860.0,144535.0,120.0,,"MCINTOSH, OPAL",0.0,SABINE ROYALTY #3,2010.0,4.0,"CHAPARRAL ENERGY, L.L.C.",116.0,ORSO CREWS IMMEDIATELY RECOVERED NEARLY ALL THAT WAS LOST.,Other,Crude,Producer,,Other,SWAMP
99,Act of God,0.0,COCHRAN,2/10/2010,8A,Pipe Line,SLAUGHTER,,644.0,0.0,50.0,,IGOE-SMITH OPER. AREA,5947.0,78'FSLX1260' FEL LAB. 8 LGE 56 OLDHAN CSL,2010.0,5.0,OCCIDENTAL PERMIAN LTD.,45.0,FREEZE BROKE VALVE. FREE FLUID RECOVERED & BEGAN REMEDIATING.,Other,Crude,Producer,,None,
100,Company Human Error,0.0,MIDLAND,2/10/2010,8,Flow Line,NO FIELD NAME,,609.0,0.0,15.0,,"HOWARD, H. B.",0.0,"SEC. 10, BLOCK 28, SURVEY T-2-S",2010.0,1.0,"ATLAS PL MID-CONT. WESTTEX, LLC",14.0,CASEY SMITH CONTRACTED TO COMPLETE REMEDIATION & SAMPLE REPORT.,Other,Crude,Transporter,,None,
101,Equipment Failure,0.0,WISE,2/10/2010,9,Tank Battery,"NEWARK, EAST (BARNETT SHALE)",,49.0,245846.0,25.0,,"WRINKLE, MARA SUE",0.0,"SECTION 48, A-993 OF THE MEP&P RR CO SURVEY",2010.0,0.0,"DEVON ENERGY PRODUCTION CO, L.P.",25.0,CONDENSATE RECOVERED.CONTAINMENT FLUSHED W/FRESH WATER.,Other,Gas Well Liquid,Producer,,None,
102,Equipment Failure,0.0,WOOD,2/10/2010,6,Flow Line,ALBA,,78.0,0.0,3.0,,ALBA SUB-CLKSVLE. NE. UNIT,5271.0,F.A. CHANEY A-110,2010.0,0.0,"BASA RESOURCES, INC.",3.0,VACUUMED FREE FLUID AND REMOVED CONTAMINATED SOIL.,Other,Crude,Producer,,None,
103,Equipment Failure,0.0,DAWSON,2/10/2010,8A,Flow Line,ACKERLY (DEAN SAND),,111.0,0.0,15.0,,ACKERLY /DEAN/ FIELD UNIT,60521.0,"SEC. 32, BLK 34 T-4-N, T&P RR CO.",2010.0,15.0,COG OPERATING LLC,0.0,WAITING ON REMEDIATION ENGINEER AND REPAIRED FLOWLINE.,Abandoned,Crude,Producer,,None,
104,Equipment Failure,0.0,SCURRY,2/12/2010,8A,Tank Battery,KELLY-SNYDER,,638.0,0.0,60.0,,SACROC UNIT,3137.0,"BLK 1, SEC. 18, J.P. SMITH SURVEY",2010.0,5.0,KINDER MORGAN PRODUCTION CO LLC,55.0,SOIL WAS REMEDIATED.,Other,Crude,Producer,,None,
105,Equipment Failure,0.0,PECOS,2/12/2010,8,Pump Station or Terminal,PRIEST & BEAVERS (QUEEN),,571.0,0.0,205.0,,PRIEST & BEAVERS UNIT,13349.0,SEC 28 BLK C-4 GC&SF SUR,2010.0,0.0,"BC OPERATING, INC.",205.0,INJECTION PUMP WENT DOWN - REMEDIATED,Other,Products,Producer,,None,
106,Equipment Failure,1961.0,SAN JACINTO,2/12/2010,3,Tank Battery,NO FIELD NAME,,229.0,0.0,25.0,,WILCOX,0.0,"1959 INDEPENDENCE RD., SHEPHERD, TX SVY SAMUEL S. LANIER A-200",2010.0,1.0,"ALTA MESA SERVICES, LP",24.0,VACUUMED FREE FLUID AND CONTINUING TO REMEDIATE SOIL.,Other,Gas Well Liquid,Producer,,None,
107,Corrosion - Rust,0.0,HOCKLEY,2/12/2010,8A,Other,SLAUGHTER,,869.0,0.0,51.0,,SLAUGHTER ESTATE UNIT,18105.0,SEU TRUCK DISPOSAL,2010.0,1.0,OCCIDENTAL PERMIAN LTD.,50.0,RECOVERED FREE FLUID. SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
108,Equipment Failure,0.0,GAINES,2/14/2010,8A,Stuffing Box,"ROBERTSON, N. (SAN ANDRES)",,1061.0,0.0,25.0,,ROBERTSON (SAN ANDRES) UNIT,66037.0,BLK A-23 PLS,2010.0,20.0,OCCIDENTAL PERMIAN LTD.,5.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
109,Corrosion - Rust,0.0,HUTCHINSON,2/15/2010,10,Pipe Line,NO FIELD NAME,,755.0,0.0,1.0,,CASTLEBERRY,0.0,"LAT. 35.696183, LONG. -101.448333",2010.0,0.0,"DCP MIDSTREAM, LP",1.0,FREE FLUIDS RECOVERED. CREEK WAS REMEDIATED BY PULLING WATER OUT. ,Other,Gas Well Liquid,Other,,Creek,HILLCREEK
110,Theft,0.0,WISE,2/15/2010,9,Tank Battery,"NEWARK, EAST (BARNETT SHALE)",,220.0,241262.0,64.0,,CHAMPION A,0.0,A. HILL A-363,2010.0,64.0,"WILLIAMS PROD. GULF COAST, L.P.",0.0,INSTALLED CAMERAS AND INSTALLED FENCE. (CAMERA WAS STOLEN WK 1),Other,Gas Well Liquid,Producer,,None,
111,Equipment Failure,0.0,MARTIN,2/17/2010,8,Tank Battery,SPRABERRY (TREND AREA),,645.0,0.0,21.0,,"SHOEMAKER, CLARA",21704.0,32.159232 DEG. -101-950827 DEG.,2010.0,1.0,"PIONEER NATURAL RES. USA, INC.",20.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
112,Equipment Failure,0.0,WARD,2/17/2010,8,Tank Battery,NO FIELD NAME,,614.0,108898.0,20.0,,"JONES, DON A.",0.0,"SEC. 26 BLK B-18, PSL /JT & C. EDWARDS",2010.0,8.0,OXY USA INC.,12.0,REMOVING SOIL TO REMEDIATE AND THEN REPLACE.,Other,Crude,Producer,,None,
113,Equipment Failure,0.0,HUTCHINSON,2/18/2010,10,Flow Line,PANHANDLE HUTCHINSON COUNTY FLD.,,1160.0,0.0,38.0,,"RILEY -A-, -F-, -G- & -K-",884.0,"SECTION 11, BLOCK M16 AB&M SURVEY",2010.0,9.0,"LINN OPERATING, INC.",29.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
114,Equipment Failure,0.0,ECTOR,2/19/2010,8,Tank Battery,KEYSTONE (DEVONIAN),,599.0,0.0,20.0,,KEYSTONE CATTLE CO.,36297.0,SEC 13 BLK 42 T&P RR CO,2010.0,5.0,"BOPCO, L.P.",15.0,GAS WELL KICK AT WELL - REMEDIATED,Other,Crude,Producer,,None,
115,Human Error - Other,0.0,DENTON,2/19/2010,9,Tank Battery,"NEWARK, EAST (BARNETT SHALE)",,52.0,0.0,15.0,,CHRISTIAN,30382.0,CHRISTIAN #3 RRC#30382,2010.0,1.0,VANTAGE FORT WORTH ENERGY LLC,14.0,VACUUMED FREE FLUID AND REMEDIATED SOIL.,Other,Gas Well Liquid,Producer,,None,
116,Well Blow Out,0.0,ECTOR,2/19/2010,8,Tank Battery,SALLIE ANN (SPRABERRY-WOLFCAMP),,113.0,0.0,20.0,,SALLIE 13,38297.0,"SEC. 13, BLK 42, T&P RR CO",2010.0,5.0,COG OPERATING LLC,15.0,PICKED UP FREE OIL AND TETRA TECH WILL REMEDIATE.,Other,Crude,Producer,,None,
117,Act of God,0.0,ROBERTS,2/20/2010,10,Tank Battery,LARD RANCH (GRANITE WASH -C-),,756.0,223684.0,34.0,,KIVLEHEN,0.0,"SEC. 5, BLK B, H&GN CO., A-82, 2155FNL & 600FWL",2010.0,34.0,"CHESAPEAKE OPERATING, INC.",0.0,PREFEX ENERGY TO REMEDIATE SOIL.,Other,Crude,Producer,,None,
118,Equipment Failure,0.0,IRION,2/20/2010,7C,Tank Battery,DOW-MAYER (SPRABERRY DEAN),,58.0,0.0,365.0,,MURPHY -A-,6268.0,"SURVEY 52, A-814, W.C. RY. CO.",2010.0,199.0,ZACHRY OIL AND GAS PROPERTIES,166.0,VACUUMED OIL AND REMEDIATED AREA,Other,Crude,Producer,,None,
119,Equipment Failure,0.0,MIDLAND,2/20/2010,8,Tank Battery,PARKS (CONSOLIDATED),,112.0,0.0,25.0,,PARKS FIELD UNIT 2,39630.0,"SEC. 8, BLK. 40, T-3-S T&PRR CO",2010.0,5.0,COG OPERATING LLC,20.0,VACUUMED FREE FLUID AND REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
120,Equipment Failure,0.0,ANDERSON,2/20/2010,6E,Pump Station or Terminal,NO FIELD NAME,,916.0,0.0,8.0,,COMPASS-MOORE,0.0,"THOMAS STATION, E. TEXAS OIL FIELD. GPS-32O 28.709N 94O 52.072W",2010.0,2.0,SUNOCO PIPELINE L.P.,6.0,REPAIRED AIR ELIMINATER AND SUMP PUMP REPAIRED.,Repaired Existing Equipment,Crude,Transporter,,Other,UNKNOWN
121,Act of God,0.0,SCURRY,2/21/2010,8A,Pipe Line,KELLY-SNYDER,,637.0,0.0,23.0,,SACROC UNIT,3137.0,"BLK 97, SECTION 252, H&TC SURVEY",2010.0,1.0,KINDER MORGAN PRODUCTION CO LLC,22.0,LIGHTNING STRIKE. VACUUMED FREE FLUID IN FIREWALL,Other,Crude,Producer,,None,
122,Corrosion - Rust,0.0,WICHITA,2/21/2010,9,Tank Battery,WICHITA COUNTY REGULAR,,71.0,0.0,3.0,,KEMPNER -B-,12029.0,J.T. LEWIS SURVEY A-462 BLOCK 55,2010.0,0.0,"TEXAS ENERGY OPERATIONS, LC",3.0,VACUUMED FREE FLUID AND REMOVED ALL RESIDUE.,Other,Crude,Producer,,None,
123,Equipment Failure,0.0,UPTON,2/21/2010,7C,Tank Battery,PEGASUS (WOLFCAMP),,53.0,0.0,100.0,,PEGASUS FIELD UNIT 3,15528.0,"SEC. 38, BLK 41, T-4-S, T&P RR CO",2010.0,20.0,COG OPERATING LLC,80.0,VACUUMED FREE FLUID AND REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
124,Corrosion - Rust,0.0,YOAKUM,2/21/2010,8A,Flow Line,WASSON 72,,542.0,0.0,10.0,,YOAKUM WASSON CLEARFORK UNIT,63523.0,,2010.0,2.0,OCCIDENTAL PERMIAN LTD.,8.0,CORROSION ON FLOWLINE - REMEDIATED,Other,Crude,Producer,,None,
125,Equipment Failure,0.0,ECTOR,2/21/2010,8,Tank Battery,SALLIE ANN (SPRABERRY-WOLFCAMP),,558.0,0.0,24.0,,BARNEY,39267.0,SEC 47 BLK 47 T2ST&P RR CO,2010.0,1.0,"DEVON ENERGY PRODUCTION CO, L.P.",23.0,HEATER TREATER BROKE CAUSING RELEASE - REMEDIATED,Other,Crude,Producer,,None,
126,Corrosion - Rust,0.0,UPTON,2/21/2010,7C,Tank Battery,NO FIELD NAME,,231.0,0.0,9.0,,WILCOX,0.0,GPS: N 31.1328 W 102.1897,2010.0,9.0,PLAINS PIPELINE L.P.,0.0,ALL CONTAMINATED SOIL WILL BE REMEDIATED ON SITE.,Other,Crude,Transporter,,None,
127,Equipment Failure,0.0,DIMMIT,2/22/2010,1,Flow Line,NO FIELD NAME,,67.0,686633.0,11.0,,BURKE GAS UNIT,0.0,LAT 28.355322 LONG. 100.02918,2010.0,1.0,ANADARKO E&P COMPANY LP,10.0,VACUUMED FREE FLUID AND SOIL REMEDIATED.,Other,Gas Well Liquid,Producer,,None,
128,Equipment Failure,0.0,GAINES,2/22/2010,8A,Valve,"TEX-MEX, SE. (WICHITA ALBANY)",,528.0,0.0,15.0,,"CRUMP EST. ""B""",64872.0,17 MI NW FROM FRANKEL CITY SEC 9 BLK A28,2010.0,15.0,"SANDRIDGE EXPL. AND PROD., LLC",0.0,NIPPLE BROKE CAUSING SPILL - REMEDIATED,Other,Crude,Producer,,None,
129,Equipment Failure,0.0,CROCKETT,2/23/2010,7C,Flow Line,UNIVERSITY 30-32 (FUSSEL. 8250),,61.0,77626.0,60.0,,UNIVERSITY 31-4,0.0,SEC. 4 BLK 31 UNIVERSITY LANDS SURVEY,2010.0,35.0,NABORS WELL SERVICES LTD.,25.0,VACUUMED FREE FLUID AND REMEDIATED SOIL.,Other,Crude,Other,,None,
130,Equipment Failure,0.0,GREGG,2/23/2010,6,Pump Station or Terminal,DANVILLE (PETTIT-A-OIL),,42.0,0.0,15.0,,"BARTON, MARTHA ET AL",14456.0,"MARTHA BARTON LEASE, WELL NUMBER 5",2010.0,1.0,"EXCO OPERATING COMPANY, LP",14.0,VACUUMED FREE FLUID AND REMEDIATED SOIL.,Other,Crude,Producer,,None,
131,Equipment Failure,0.0,HOCKLEY,2/23/2010,8A,Tank Battery,YELLOWHOUSE,,109.0,0.0,60.0,,"COBB, TOM ""A""",64143.0,SOUTH TANK BATTERY,2010.0,10.0,APACHE CORPORATION,50.0,VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
132,Other,0.0,YOAKUM,2/24/2010,8A,Tank Battery,SPIVEY (SAN ANDRES),,619.0,0.0,34.0,,CONE,62433.0,SEC. 332 JOHN H. GIBSON,2010.0,14.0,"RANGER 40 PETROLEUM, LLC",20.0,LIVESTOCK KICKED OPEN VALVE. VACUUMED AND USED SOIL FOR DIKE.,Other,Crude,Producer,,None,
133,Corrosion - Rust,0.0,WARD,2/24/2010,8,Tank Battery,CRAWAR (GLORIETA),,1067.0,0.0,12.0,,CRAWAR FIELD UNIT,983.0,8'X25' AREA OUTSIDE OF BATTERY BETWEEN BATTERY AND IN-LINE HEATER ,2010.0,1.0,CHEVRON U. S. A. INC.,11.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
134,Equipment Failure,0.0,WARD,2/24/2010,8,Tank Battery,"JANELLE, SE. (GLORIETA)",,1066.0,0.0,15.0,,"EDWARDS, C. W., ET AL",35453.0,INSIDE OIL TANK BERM,2010.0,0.0,CHEVRON U. S. A. INC.,15.0,SOIL WAS TILLED AND REMEDIATED. SOIL SAMPLES BEING TESTED.,Other,Crude,Producer,,None,
135,Equipment Failure,0.0,HIDALGO,2/25/2010,6E,Flow Line,EAST TEXAS,,44.0,0.0,31.0,,"ISLEY, I.",8032.0,G.R. RAINES,2010.0,1.0,"S N D ENERGY COMPANY, INC.",30.0,SKIM OIL OFF WATER AND REMEDIATED SOIL.,Other,Crude,Producer,,Other,SLEW
136,Other,0.0,TERRELL,2/26/2010,7C,Tank Battery,SOUTH PARK (STRAWN),,57.0,178172.0,78.0,,"CULBERTSON ""17""",0.0,"SEC. 17, BLOCK 2-LAT30DEG.31'57.12""N LONG.102DEG.12'48.30""W",2010.0,78.0,"MARLIN ENERGY SOUTHWEST GP, LLC",0.0,COWS OPENED VALVE.AREA REMEDIATED W/OILHAWG.,Other,Gas Well Liquid,Producer,,None,
137,Equipment Failure,0.0,STONEWALL,2/26/2010,7B,Tank Battery,FLOWERS (SAN ANGELO),,31.0,242081.0,75.0,,FLOWERS (CANYON SAND) UNIT,0.0,"SECTION 19, BLOCK D, H&TC RR CO. SURVEY",2010.0,5.0,CITATION OIL & GAS CORP.,70.0,VACUUMED FREE FLUID AND REMEDIATED SOIL.,Other,Crude,Producer,,None,
138,Equipment Failure,0.0,RUNNELS,2/27/2010,7C,Tank Battery,"CREE-SYKES (GARDNER, UPPER)",,55.0,0.0,5.0,,CREE SYKES UNIT,365.0,SEC 8 A-8-9 TRACT 14,2010.0,3.0,"PIONEER EXPLORATION, LLC",2.0,VACUUMED FREE FLUID & REMDIATED SOIL W/FRESH SOIL & BIO AGENT.,Other,Crude,Producer,,None,
139,Equipment Failure,0.0,YOUNG,2/28/2010,9,Other,MURRAY (MISSISSIPPI),,69.0,0.0,100.0,,"DONNELL, SALLIE R. -D-",8092.0,"T.E.&L SURVEY 2371, A-1088, YOUNG COUNTY, TEXAS",2010.0,100.0,"ROMAC OIL COMPANY, INC.",0.0,TURN & TILL SOIL AND GATOR APPLIED. SOIL REMEDIATED.,Other,Combined,Producer,,None,
140,Equipment Failure,0.0,ECTOR,2/28/2010,8,Flow Line,SALLIE ANN (SPRABERRY-WOLFCAMP),,556.0,0.0,47.0,,THELMA LOU,38904.0,SEC 40 BLK 42 T-2-S T&P RR CO,2010.0,2.0,"DEVON ENERGY PRODUCTION CO, L.P.",45.0,LEAK IN LINE - REMEDIATED,Other,Crude,Producer,,None,
141,Equipment Failure,0.0,GAINES,2/28/2010,8A,Tank Battery,"ROBERTSON, N. (CLEAR FORK 7100)",,1011.0,0.0,18.0,,NORTH ROBERTSON UNIT,65930.0,SRU BATT #3 SEC 362 BLK G CCSD & RGNC SUR,2010.0,8.0,ENERGEN RESOURCES CORPORATION,10.0,DUMP VALVE FAILED - REMEDIATED,Other,Crude,Producer,,None,
142,Equipment Failure,0.0,GAINES,2/28/2010,8,Tank Battery,SPRABERRY (TREND AREA),,871.0,0.0,81.0,,SPRABERRY DRIVER UNIT,15400.0,"APPROXIMATELY 6 MILES EAST OF MIDKIFF, TX, OFF HWY 1357",2010.0,71.0,"PIONEER NATURAL RES. USA, INC.",10.0,VACUUMED FREE FLUID.NOVA TO REMEDIATE AREA,Other,Crude,Producer,,None,
143,Corrosion - Rust,0.0,GREGG,3/1/2010,6,Flow Line,NO FIELD NAME,,868.0,0.0,198.0,,CUMMINGS C WEST,0.0,"1010 COX DAIRY ROAD, LONGVIEW, TX 75604",2010.0,2.0,SUNOCO PIPELINE L.P.,196.0,VACUUMED FREE FLUID.SOIL WAS REMEDIATED ON-SITE.,Other,Crude,Transporter,,None,
144,Corrosion - Rust,0.0,REEVES,3/2/2010,8,Tank Battery,WAHA (MISSISSIPPIAN),,636.0,46115.0,41.0,,"MOORE, WAYNE",0.0,N31-16-195 W 103-05-334,2010.0,40.0,EXXON MOBIL CORPORATION,1.0,FREE FLUID RECOVERED AND REMEDIATION IS IN PROGRESS.,Other,Gas Well Liquid,Producer,,None,
145,Equipment Failure,961.0,SCHLEICHER,3/2/2010,7C,Flow Line,NO FIELD NAME,,89.0,0.0,5.0,,ARCHER SWD,0.0,"30 DEG. 47'55"" 100DEG. 55'01""",2010.0,5.0,HIGHMOUNT EXPL & PROD TEXAS LLC,0.0,DIG OUT AND REMEDIATE IN PLACE.,Other,Gas Well Liquid,Producer,,None,
146,Equipment Failure,0.0,GAINES,3/2/2010,8A,Tank Battery,"ROBERTSON, N. (CLEAR FORK 7100)",,114.0,0.0,18.0,,NORTH ROBERTSON UNIT,65930.0,"NRU BATTERY #3@ SEC 362, BLK G, CCSD & RGNC SURVEY",2010.0,8.0,ENERGEN RESOURCES CORPORATION,10.0,REMOVED FREE LIQUID AND REMEDIATED SURFACE,Other,Crude,Producer,,None,
